name,color
RES-1227,#afa28e
RES-1033,#afa28e
RES-1101,#afa28e
RES-1250,#afa28e
Spot Market Lep,#6f95bb
RES-1194,#afa28e
RES-1238,#afa28e
RES-1171,#afa28e
RES-1052,#afa28e
RES-1066,#afa28e
RES-1226,#afa28e
RES-1133,#afa28e
RES-1144,#afa28e
RES-1223,#afa28e
RES-1168,#afa28e
RES-1107,#afa28e
RES-1215,#afa28e
RES-1158,#afa28e
RES-1010,#afa28e
RES-1212,#afa28e
RES-1231,#afa28e
RES-1063,#afa28e
RES-1145,#afa28e
RES-1255,#afa28e
RES-1103,#afa28e
RES-1060,#afa28e
RES-1172,#afa28e
RES-1213,#afa28e
RES-1152,#afa28e
RES-1017,#afa28e
RES-1263,#afa28e
RES-1020,#afa28e
RES-1130,#afa28e
RES-1225,#afa28e
RES-1040,#afa28e
RES-1135,#afa28e
RES-1218,#afa28e
RES-1128,#afa28e
RES-1122,#afa28e
RES-1149,#afa28e
RES-1012,#afa28e
RES-1232,#afa28e
RES-1080,#afa28e
RES-1191,#afa28e
RES-1015,#afa28e
RES-1138,#afa28e
RES-1188,#afa28e
RES-1148,#afa28e
RES-1014,#afa28e
RES-1055,#afa28e
RES-1075,#afa28e
RES-1048,#afa28e
RES-1039,#afa28e
RES-1124,#afa28e
RES-1183,#afa28e
RES-1169,#afa28e
RES-1142,#afa28e
RES-1247,#afa28e
RES-1187,#afa28e
RES-1178,#afa28e
RES-1108,#afa28e
RES-1073,#afa28e
RES-1116,#afa28e
RES-1259,#afa28e
RES-1200,#afa28e
RES-1237,#afa28e
RES-1067,#afa28e
RES-1099,#afa28e
RES-1000,#afa28e
RES-1097,#afa28e
RES-1042,#afa28e
RES-1030,#afa28e
RES-1205,#afa28e
RES-1109,#afa28e
RES-1246,#afa28e
RES-1248,#afa28e
RES-1208,#afa28e
RES-1085,#afa28e
RES-1121,#afa28e
RES-1047,#afa28e
RES-1007,#afa28e
RES-1025,#afa28e
Spodumene,#d07c51
Petalite,#8db255
Lepidolite,#d3aa65
Brine,#8b9284
Hard Rock,#dfb55d
Pegmatite,#a0ba82
Clay,#3a6644
Salar Brine,#722d37
China,#5c3a23
Australia,#afa28e
Netherlands,#9e4b29
Falcon Holdings,#b59e87
Crescent Energy,#afa28e
Amber Mining,#afa28e
Highland Corp,#afa28e
Cascade Corp,#afa28e
Redwood Group,#da7231
CNV-1036,#afa28e
CNV-1228,#afa28e
CNV-1160,#afa28e
CNV-1193,#afa28e
CNV-1262,#afa28e
CNV-1257,#afa28e
CNV-1249,#afa28e
CNV-1120,#afa28e
CNV-1102,#afa28e
CNV-1245,#afa28e
CNV-1110,#afa28e
CNV-1091,#afa28e
CNV-1256,#afa28e
CNV-1176,#afa28e
CNV-1162,#afa28e
CNV-1068,#afa28e
CNV-1082,#afa28e
CNV-1202,#afa28e
CNV-1161,#afa28e
CNV-1092,#afa28e
CNV-1078,#afa28e
CNV-1206,#afa28e
CNV-1100,#afa28e
CNV-1229,#afa28e
CNV-1177,#afa28e
CNV-1136,#afa28e
CNV-1083,#afa28e
CNV-1154,#afa28e
CNV-1056,#afa28e
CNV-1216,#afa28e
CNV-1132,#afa28e
CNV-1164,#afa28e
CNV-1095,#afa28e
CNV-1104,#afa28e
CNV-1224,#afa28e
CNV-1140,#afa28e
CNV-1050,#afa28e
CNV-1057,#afa28e
CNV-1157,#afa28e
CNV-1065,#afa28e
CNV-1180,#afa28e
CNV-1059,#afa28e
CNV-1197,#afa28e
CNV-1038,#afa28e
CNV-1006,#afa28e
CNV-1201,#afa28e
CNV-1190,#afa28e
CNV-1037,#afa28e
CNV-1195,#afa28e
CNV-1199,#afa28e
CNV-1264,#afa28e
CNV-1222,#afa28e
CNV-1021,#afa28e
CNV-1081,#afa28e
CNV-1175,#afa28e
CNV-1043,#afa28e
CNV-1111,#afa28e
CNV-1032,#afa28e
CNV-1221,#afa28e
CNV-1253,#afa28e
CNV-1166,#afa28e
CNV-1049,#afa28e
CNV-1230,#afa28e
CNV-1008,#afa28e
CNV-1035,#afa28e
CNV-1084,#afa28e
CNV-1051,#afa28e
CNV-1024,#afa28e
CNV-1086,#afa28e
CNV-1234,#afa28e
CNV-1150,#afa28e
CNV-1105,#afa28e
CNV-1044,#afa28e
CNV-1058,#afa28e
CNV-1174,#afa28e
CNV-1028,#afa28e
CNV-1209,#afa28e
CNV-1114,#afa28e
CNV-1235,#afa28e
CNV-1096,#afa28e
CNV-1167,#afa28e
CNV-1203,#afa28e
CNV-1098,#afa28e
CNV-1251,#afa28e
CNV-1254,#afa28e
CNV-1118,#afa28e
CNV-1003,#afa28e
CNV-1093,#afa28e
CNV-1022,#afa28e
CNV-1241,#afa28e
CNV-1207,#afa28e
CNV-1258,#afa28e
CNV-1079,#afa28e
CNV-1240,#afa28e
CNV-1123,#afa28e
CNV-1260,#afa28e
CNV-1210,#afa28e
CNV-1131,#afa28e
CNV-1031,#afa28e
CNV-1143,#afa28e
CNV-1153,#afa28e
CNV-1045,#afa28e
CNV-1119,#afa28e
CNV-1186,#afa28e
CNV-1046,#afa28e
CNV-1147,#afa28e
CNV-1005,#afa28e
CNV-1016,#afa28e
CNV-1233,#afa28e
CNV-1173,#afa28e
CNV-1126,#afa28e
CNV-1074,#afa28e
CNV-1214,#afa28e
CNV-1106,#afa28e
CNV-1004,#afa28e
CNV-1146,#afa28e
CNV-1019,#afa28e
CNV-1115,#afa28e
CNV-1088,#afa28e
CNV-1127,#afa28e
CNV-1009,#afa28e
CNV-1217,#afa28e
CNV-1001,#afa28e
CNV-1071,#afa28e
CNV-1184,#afa28e
CNV-1090,#afa28e
CNV-1134,#afa28e
CNV-1113,#afa28e
CNV-1041,#afa28e
CNV-1204,#afa28e
CNV-1198,#afa28e
CNV-1261,#afa28e
CNV-1252,#afa28e
CNV-1011,#afa28e
CNV-1070,#afa28e
CNV-1244,#afa28e
CNV-1023,#afa28e
CNV-1013,#afa28e
CNV-1064,#afa28e
CNV-1125,#afa28e
CNV-1170,#afa28e
CNV-1151,#afa28e
CNV-1192,#afa28e
CNV-1087,#afa28e
CNV-1053,#afa28e
CNV-1163,#afa28e
CNV-1069,#afa28e
CNV-1236,#afa28e
CNV-1155,#afa28e
CNV-1027,#afa28e
CNV-1029,#afa28e
CNV-1239,#afa28e
CNV-1034,#afa28e
CNV-1026,#afa28e
CNV-1182,#afa28e
CNV-1141,#afa28e
CNV-1243,#afa28e
CNV-1219,#afa28e
CNV-1156,#afa28e
CNV-1077,#afa28e
CNV-1139,#afa28e
CNV-1112,#afa28e
CNV-1220,#afa28e
CNV-1072,#afa28e
Highland Group,#afa28e
Highland Metals,#afa28e
Vantage Holdings,#afa28e
Granite Corp,#afa28e
Highland Materials,#afa28e
Northstar Group,#afa28e
Meridian Energy,#afa28e
Cascade Metals,#afa28e
Vantage Group,#afa28e
Ironclad Resources,#afa28e
Summit Group,#afa28e
Silverridge Metals,#afa28e
Granite Metals,#afa28e
Meridian Materials,#afa28e
Falcon Group,#afa28e
Golden Peak Minerals,#afa28e
Horizon Metals,#afa28e
Highland Energy,#afa28e
Czech Republic,#db8261
Nigeria,#afa28e
Canada,#afa28e
Brazil,#afa28e
Portugal,#7f6851
Namibia,#afa28e
Mali,#afa28e
Peru,#afa28e
Tier 1 Priority,#ceac6f
Tier 2 Priority,#aba291
Tier 3 Priority,#afa28e
Strategic Reserve,#9cae8e
Highland Park Deposit,#afa28e
Moonlight Basin Prospect,#afa28e
Rustic Hollow Prospect,#afa28e
Crystal Springs Project,#afa28e
Green Hollow Deposit,#afa28e
Willow Bend Claim,#afa28e
Amber Hills Claim,#afa28e
Thunder Ridge Prospect,#afa28e
Cedar Grove Mine,#afa28e
Crystal Springs Claim,#afa28e
Sunset Basin Deposit,#afa28e
Copperhead Mine,#afa28e
Silver Creek Mine,#afa28e
Eagle Point Claim,#afa28e
Amber Hills Mine,#afa28e
Falcon Crest Mine,#afa28e
Golden Ridge Project,#afa28e
Granite Falls Deposit,#afa28e
Blue Mesa Claim,#afa28e
Silver Creek Claim,#afa28e
Thunder Ridge Deposit,#afa28e
Painted Mesa Project,#afa28e
Stone Valley Prospect,#afa28e
Highland Park Mine,#afa28e
Black Rock Project,#afa28e
Timber Creek Mine,#afa28e
Moonlight Basin Deposit,#afa28e
Timber Creek Prospect,#afa28e
Silver Creek Project,#afa28e
Amber Hills Project,#afa28e
Maple Run Deposit,#afa28e
White Pine Claim,#afa28e
Falcon Crest Project,#afa28e
Blue Mesa Project,#afa28e
Falcon Crest Claim,#afa28e
Blue Mesa Mine,#afa28e
Green Hollow Prospect,#afa28e
Crystal Springs Prospect,#afa28e
Thunder Ridge Mine,#afa28e
Crystal Springs Mine,#afa28e
Highland Park Project,#afa28e
Eagle Point Project,#afa28e
White Pine Project,#afa28e
Granite Falls Project,#afa28e
Willow Bend Project,#afa28e
Stone Valley Deposit,#afa28e
Rustic Hollow Deposit,#afa28e
Moonlight Basin Project,#afa28e
Cedar Grove Prospect,#afa28e
Painted Mesa Claim,#afa28e
Sunset Basin Project,#afa28e
Copperhead Prospect,#afa28e
Iron Bluff Project,#afa28e
Copperhead Project,#afa28e
Blue Mesa Deposit,#afa28e
Black Rock Deposit,#afa28e
Timber Creek Project,#afa28e
Red Canyon Claim,#afa28e
White Pine Prospect,#afa28e
Green Hollow Claim,#afa28e
Falcon Crest Prospect,#afa28e
Willow Bend Prospect,#afa28e
Golden Ridge Claim,#afa28e
Sunset Basin Claim,#afa28e
Golden Ridge Prospect,#afa28e
Rustic Hollow Mine,#afa28e
Eagle Point Prospect,#afa28e
Maple Run Mine,#afa28e
Rustic Hollow Claim,#afa28e
Amber Hills Prospect,#afa28e
Highland Park Claim,#afa28e
Stone Valley Claim,#afa28e
Sunset Basin Prospect,#afa28e
Iron Bluff Prospect,#afa28e
Copperhead Claim,#afa28e
Painted Mesa Prospect,#afa28e
White Pine Mine,#afa28e
Copperhead Deposit,#afa28e
Silver Creek Prospect,#afa28e
Blue Mesa Prospect,#afa28e
Red Canyon Deposit,#afa28e
Red Canyon Prospect,#afa28e
Black Rock Claim,#afa28e
White Pine Deposit,#afa28e
Golden Ridge Mine,#afa28e
Green Hollow Project,#afa28e
Maple Run Claim,#afa28e
Granite Falls Mine,#afa28e
Thunder Ridge Project,#afa28e
Eagle Point Mine,#afa28e
Moonlight Basin Claim,#afa28e
Golden Ridge Deposit,#afa28e
Granite Falls Claim,#afa28e
Stone Valley Mine,#afa28e
Thunder Ridge Claim,#afa28e
Amber Hills Deposit,#afa28e
Falcon Crest Deposit,#afa28e
Red Canyon Project,#afa28e
Painted Mesa Mine,#afa28e
Rustic Hollow Project,#afa28e
Iron Bluff Mine,#afa28e
Iron Bluff Claim,#afa28e
Green Hollow Mine,#afa28e
Granite Falls Prospect,#afa28e
Maple Run Project,#afa28e
Cedar Grove Claim,#afa28e
Crystal Springs Deposit,#afa28e
Iron Bluff Deposit,#afa28e
Red Canyon Mine,#afa28e
Black Rock Mine,#afa28e
Timber Creek Claim,#afa28e
Silver Creek Deposit,#afa28e
Moonlight Basin Mine,#d4a72b
Cedar Grove Deposit,#afa28e
Sunset Basin Mine,#afa28e
Zinnwaldite,#8b9284
Exploration,#afa28e
Feasibility Study,#afa28e
Permitting,#afa28e
Construction,#afa28e
Production,#afa28e
Expansion,#afa28e
Care & Maintenance,#afa28e
RES-1062,#afa28e
RES-1061,#afa28e
Other,#d67f4b
