,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Resource Company,Resource Country,Resource SubType,Resource Region,Offtake Owner,Resource ID
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2225212502509872,0.5933900006692994,0.6798024195167659,0.6798024195167659,0.6798024195167659,Silverridge Metals,Kazakhstan,Spodumene,South America,Spot Market Spod,RES-1101
0,0.0,0.0,0.7255209998183328,1.934722666182221,2.216466654445007,2.216466654445007,2.216466654445007,2.216466654445007,2.216466654445007,2.216466654445007,2.216466654445007,Vantage Group,Serbia,Spodumene,Middle East & Africa,Spot Market Spod,RES-1250
0,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,0.06403091360972203,Granite Metals,Czech Republic,Zinnwaldite,North America,Spot Market Spod,RES-1061
0,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,Meridian Energy,Germany,Spodumene,Germany,Spot Market Spod,RES-1194
0,0.0,0.0,0.0,0.020679641523325076,0.05514571072886687,0.06317630485375812,0.06317630485375812,0.06317630485375812,0.06317630485375812,0.06317630485375812,0.06317630485375812,Highland Metals,Czech Republic,Zinnwaldite,North America,Spot Market Spod,RES-1238
0,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,0.13092857142857142,Granite Corp,Germany,Brine,Germany,Spot Market Lep,RES-1171
0,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,3.011357142857143,Meridian Materials,Germany,Spodumene,Germany,Spot Market Spod,RES-1052
0,0.8212093759262624,2.1898916691367,2.5087946434547317,2.5087946434547317,2.5087946434547317,2.5087946434547317,2.5087946434547317,2.5087946434547317,2.5087946434547317,2.5087946434547317,2.5087946434547317,Falcon Group,Bolivia,Spodumene,Bolivia,Spot Market Spod,RES-1066
0,0.0,0.0,0.0,0.0,0.0,0.0,0.19407031896889676,0.5175208505837247,0.5928848244499795,0.5928848244499795,0.5928848244499795,Golden Peak Minerals,Serbia,Spodumene,Middle East & Africa,Spot Market Spod,RES-1226
0,0.0,0.0,0.0705710250795988,0.18818940021226346,0.21559448161817435,0.21559448161817435,0.21559448161817435,0.21559448161817435,0.21559448161817435,0.21559448161817435,0.21559448161817435,Golden Peak Minerals,Serbia,Spodumene,Middle East & Africa,Spot Market Spod,RES-1133
0,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,3.142285714285714,Horizon Metals,Germany,Brine,Germany,Spot Market Lep,RES-1144
0,0.0,0.0,0.0,0.011253217512692785,0.03000858003384743,0.03437857950127646,0.03437857950127646,0.03437857950127646,0.03437857950127646,0.03437857950127646,0.03437857950127646,Highland Materials,Serbia,Brine,Middle East & Africa,Spot Market Lep,RES-1223
0,0.40117402545249403,1.069797401206651,1.2255866477573694,1.2255866477573694,1.2255866477573694,1.2255866477573694,1.2255866477573694,1.2255866477573694,1.2255866477573694,1.2255866477573694,1.2255866477573694,Granite Metals,Serbia,Zinnwaldite,Middle East & Africa,Spot Market Spod,RES-1168
0,0.4891666666428572,2.4685777378571427,3.1394097142857142,5.796613713571429,5.026247857857143,7.2086347642857165,7.78684487857143,8.266476428571428,8.59667642857143,8.690949642857143,8.76250405,Redwood Group,Bolivia,Spodumene,Bolivia,Spot Market Spod,RES-1107
